MTREV,CDSEXE,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,RANGAGEAD,RANGAGEDEM,RANGADH,DEMISSIONNAIRE
2652.9642757465813,3,2,M,0,DV,21,1 ,5 ,5 ,1
2372.1552346570397,3,0,D,0,DV,21,2 ,7 ,5 ,1
1848.0,3,1,U,0,DV,21,2 ,6 ,5 ,1
1973.0,2,1,M,0,DV,21,1 ,5 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,1 ,5 ,4 ,1
2652.9642757465813,2,0,M,0,DV,21,1 ,6 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,1 ,5 ,5 ,1
2652.9642757465813,3,0,M,0,DV,21,6 ,b ,5 ,1
2533.274928774929,3,0,A,0,DV,21,5 ,9 ,5 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,7 ,4 ,1
2372.1552346570397,2,0,D,0,DV,21,1 ,7 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,9 ,7 ,1
2652.9642757465813,3,0,M,2,DV,21,5 ,b ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,4 ,a ,7 ,1
2652.9642757465813,3,0,M,0,DV,21,3 ,9 ,7 ,1
2533.274928774929,3,0,A,0,RA,21,3 ,a ,7 ,1
1400.0,3,0,M,0,DV,21,5 ,b ,7 ,1
2652.9642757465813,2,0,M,0,DA,21,1 ,6 ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,5 ,b ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,4 ,a ,7 ,1
2652.9642757465813,3,0,M,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,8 ,6 ,1
2372.1552346570397,3,0,D,0,DV,21,3 ,9 ,6 ,1
2637.276119402985,3,0,V,0,DV,21,8 ,b ,7 ,1
1930.0505154639175,4,0,C,0,DV,21,7 ,b ,5 ,1
2652.9642757465813,3,0,M,0,DV,21,8 ,b ,5 ,1
2372.1552346570397,3,0,D,0,DV,21,6 ,b ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,8 ,b ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,7 ,b ,5 ,1
2533.274928774929,3,0,A,0,DV,21,6 ,b ,6 ,1
2372.1552346570397,2,0,D,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,9 ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,4 ,8 ,5 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,8 ,5 ,1
2372.1552346570397,3,0,D,0,DV,21,7 ,b ,6 ,1
2652.9642757465813,3,0,M,0,DV,21,8 ,b ,6 ,1
2652.9642757465813,3,0,M,0,DV,21,3 ,7 ,5 ,1
2652.9642757465813,2,0,M,0,DV,21,3 ,8 ,6 ,1
2652.9642757465813,3,0,M,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,7 ,b ,6 ,1
1685.0,3,0,C,0,DV,21,1 ,6 ,6 ,1
2652.9642757465813,3,0,M,0,DV,21,5 ,a ,5 ,1
2637.276119402985,3,0,V,0,DV,21,8 ,b ,6 ,1
1143.0,3,0,M,0,DV,21,4 ,9 ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,5 ,a ,5 ,1
2652.9642757465813,3,0,M,2,DV,21,6 ,b ,6 ,1
1219.0,2,0,M,0,DV,21,5 ,a ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,4 ,9 ,6 ,1
2652.9642757465813,3,0,M,0,DV,21,6 ,b ,6 ,1
2652.9642757465813,3,0,M,0,DV,21,7 ,b ,4 ,1
2652.9642757465813,2,0,M,0,DV,21,4 ,7 ,4 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,6 ,4 ,1
1930.0505154639175,3,0,C,0,DV,21,1 ,5 ,5 ,1
2652.9642757465813,3,0,M,0,DV,21,1 ,5 ,5 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,7 ,4 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,a ,7 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,8 ,7 ,1
2652.9642757465813,2,1,M,0,DV,21,4 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,21,8 ,b ,6 ,1
2533.274928774929,2,0,A,0,DV,21,8 ,b ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,4 ,a ,7 ,1
2533.274928774929,3,0,A,0,DV,21,5 ,9 ,5 ,1
2652.9642757465813,2,0,M,0,DV,21,5 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,8 ,b ,6 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,a ,5 ,1
2533.274928774929,2,0,A,0,DV,21,8 ,b ,6 ,1
2533.274928774929,3,0,A,0,DV,21,7 ,b ,6 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,a ,5 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,1 ,5 ,5 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,8 ,5 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,8 ,5 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,9 ,5 ,1
2652.9642757465813,2,0,M,0,DV,21,7 ,b ,5 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,9 ,5 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,8 ,5 ,1
2533.274928774929,2,0,A,2,DV,21,7 ,b ,5 ,1
2533.274928774929,3,0,A,0,DV,21,7 ,b ,5 ,1
2533.274928774929,2,0,A,2,DV,21,5 ,a ,5 ,1
1757.0,2,0,V,0,DV,21,5 ,9 ,5 ,1
1930.0505154639175,4,0,C,0,DV,21,7 ,b ,5 ,1
2533.274928774929,2,0,A,0,DV,21,6 ,a ,5 ,1
1930.0505154639175,4,0,C,0,DV,21,3 ,8 ,5 ,1
2652.9642757465813,2,0,M,0,DV,21,3 ,8 ,5 ,1
2533.274928774929,3,0,A,0,DV,21,1 ,5 ,5 ,1
2533.274928774929,3,0,A,2,DV,21,3 ,7 ,4 ,1
1930.0505154639175,4,0,C,0,RA,21,2 ,6 ,4 ,1
2533.274928774929,2,0,A,0,DV,21,6 ,9 ,4 ,1
2056.0,2,0,M,0,DV,21,5 ,9 ,5 ,1
2372.1552346570397,3,1,D,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,7 ,5 ,1
2372.1552346570397,3,0,D,0,DV,21,6 ,a ,4 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,a ,7 ,1
1930.0505154639175,4,0,C,0,DV,21,6 ,b ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,6 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,10,1 ,7 ,7 ,1
2652.9642757465813,2,0,M,0,DV,21,4 ,b ,7 ,1
2652.9642757465813,3,0,M,0,DV,21,3 ,a ,7 ,1
2652.9642757465813,2,0,M,0,DV,21,3 ,a ,7 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,7 ,1
2652.9642757465813,2,0,M,0,DV,21,3 ,9 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,a ,7 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,a ,6 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,8 ,7 ,1
2652.9642757465813,3,0,M,0,DV,21,3 ,9 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,3,0,A,0,DV,10,6 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,a ,7 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,b ,7 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,a ,7 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,9 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,9 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,8 ,7 ,1
2567.0,3,0,A,0,DV,21,3 ,9 ,7 ,1
1930.0505154639175,2,0,C,0,DV,21,1 ,8 ,7 ,1
2652.9642757465813,2,0,M,0,DV,21,5 ,b ,7 ,1
2372.1552346570397,2,0,D,0,DV,21,7 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,8 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,a ,7 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,9 ,7 ,1
1930.0505154639175,4,0,C,0,DV,21,3 ,a ,7 ,1
1641.0,3,1,M,0,DV,21,1 ,8 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,6 ,b ,7 ,1
2652.9642757465813,2,0,M,0,DV,21,5 ,a ,6 ,1
2533.274928774929,3,3,A,0,DV,21,1 ,7 ,7 ,1
2818.0,2,3,M,0,DV,21,1 ,7 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,a ,7 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,7 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,6 ,b ,6 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,8 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,9 ,6 ,1
2372.1552346570397,3,0,D,0,DV,21,1 ,8 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,6 ,b ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,7 ,1
1930.0505154639175,4,0,C,0,DV,21,4 ,b ,7 ,1
2540.7733333333335,3,0,B,0,DV,21,3 ,a ,7 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,9 ,7 ,1
2533.274928774929,2,0,A,0,DV,10,2 ,9 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,6 ,b ,6 ,1
2533.274928774929,3,0,A,0,DV,21,6 ,b ,7 ,1
1693.0,2,0,A,0,DV,21,1 ,6 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,9 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,6 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,9 ,6 ,1
1930.0505154639175,4,0,C,0,DV,21,2 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,1 ,8 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,8 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,5 ,b ,7 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,8 ,7 ,1
2533.274928774929,3,0,A,0,DV,10,1 ,8 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,9 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,6 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,10,4 ,a ,7 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,9 ,7 ,1
1923.0,3,0,M,0,DV,21,1 ,8 ,7 ,1
2652.9642757465813,2,0,M,0,DV,21,2 ,8 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,9 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,9 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,9 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,9 ,7 ,1
1930.0505154639175,4,0,C,0,DV,21,2 ,8 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,3,0,A,0,DV,21,1 ,8 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,10,2 ,8 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,b ,7 ,1
2533.274928774929,2,0,A,2,DV,21,3 ,8 ,6 ,1
1930.0505154639175,4,0,C,0,DV,21,3 ,9 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,8 ,b ,6 ,1
1930.0505154639175,4,0,C,0,DV,21,2 ,8 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,9 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,b ,7 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,b ,6 ,1
2533.274928774929,2,0,A,0,DV,21,1 ,8 ,7 ,1
2533.274928774929,3,0,A,0,RA,21,2 ,8 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,1 ,7 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,9 ,6 ,1
2533.274928774929,2,0,A,2,DV,21,4 ,9 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,3,0,A,0,DV,21,1 ,7 ,6 ,1
2533.274928774929,3,0,A,2,DV,21,7 ,b ,6 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,7 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,7 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,9 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,9 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,b ,6 ,1
2533.274928774929,2,0,A,2,DV,21,5 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,a ,6 ,1
2533.274928774929,3,0,A,0,DV,21,6 ,b ,6 ,1
1930.0505154639175,4,0,C,0,DV,21,4 ,a ,7 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,9 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,5 ,b ,6 ,1
2533.274928774929,3,0,A,0,DV,21,5 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,9 ,6 ,1
2533.274928774929,2,0,A,0,RA,21,2 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,8 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,6 ,b ,6 ,1
2533.274928774929,3,0,A,0,DV,10,3 ,9 ,7 ,1
2533.274928774929,2,0,A,0,DV,10,4 ,a ,7 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,8 ,6 ,1
2652.9642757465813,3,0,M,0,DV,21,4 ,a ,7 ,1
2533.274928774929,2,0,A,2,DV,21,1 ,7 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,7 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,9 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,9 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,a ,7 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,9 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,6 ,b ,6 ,1
2652.9642757465813,3,4,M,0,DV,21,2 ,8 ,7 ,1
2967.0,2,0,A,0,DV,21,1 ,7 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,b ,6 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,7 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,9 ,6 ,1
1930.0505154639175,2,0,C,0,DV,21,7 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,21,5 ,a ,6 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,6 ,1
1930.0505154639175,4,0,C,0,DV,21,7 ,b ,7 ,1
2652.9642757465813,2,0,M,0,DV,21,4 ,b ,7 ,1
2637.276119402985,3,0,V,0,DV,21,2 ,9 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,8 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,9 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,6 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,8 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,9 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,9 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,9 ,5 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,9 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,9 ,6 ,1
1930.0505154639175,4,0,C,0,DV,21,2 ,7 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,5 ,b ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,5 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,21,1 ,7 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,a ,7 ,1
2533.274928774929,2,0,A,0,DV,21,6 ,b ,6 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,9 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,9 ,6 ,1
2533.274928774929,3,0,A,0,DA,21,1 ,7 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,9 ,6 ,1
2540.7733333333335,2,0,B,0,DV,21,5 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,9 ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,8 ,b ,7 ,1
2540.7733333333335,3,0,B,0,DV,21,4 ,a ,7 ,1
2652.9642757465813,2,0,M,0,DV,21,4 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,8 ,6 ,1
1930.0505154639175,4,0,C,0,DV,21,5 ,b ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,3,0,A,2,DV,21,5 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,9 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,7 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,8 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,a ,6 ,1
1444.0,2,0,M,0,DV,21,5 ,b ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,1 ,7 ,6 ,1
1930.0505154639175,4,0,C,0,DV,21,2 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,6 ,b ,6 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,9 ,6 ,1
1930.0505154639175,4,0,C,0,DV,21,3 ,8 ,5 ,1
1930.0505154639175,4,0,C,0,DV,21,2 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,7 ,b ,6 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,b ,6 ,1
2372.1552346570397,3,0,D,0,DV,21,5 ,a ,6 ,1
2372.1552346570397,3,0,D,0,DV,21,2 ,7 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,5 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,8 ,7 ,1
2533.274928774929,3,0,A,0,DV,21,5 ,a ,5 ,1
2533.274928774929,3,0,A,0,DV,21,6 ,b ,6 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,9 ,5 ,1
2652.9642757465813,3,0,M,0,DV,21,5 ,a ,6 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,9 ,6 ,1
1930.0505154639175,4,0,C,0,DV,21,3 ,8 ,6 ,1
2372.1552346570397,3,0,D,0,DV,21,7 ,b ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,7 ,b ,6 ,1
2565.0,2,2,A,2,DA,21,2 ,7 ,6 ,1
2637.276119402985,3,0,V,0,DV,21,7 ,b ,6 ,1
2533.274928774929,3,0,A,0,DA,21,1 ,6 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,1 ,6 ,6 ,1
2652.9642757465813,3,0,M,0,DV,21,4 ,9 ,6 ,1
1829.0,3,1,A,0,DV,21,2 ,7 ,6 ,1
2652.9642757465813,2,0,M,2,DV,21,7 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,a ,7 ,1
2533.274928774929,3,0,A,0,DA,21,3 ,8 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,8 ,7 ,1
2372.1552346570397,2,0,D,0,DA,21,4 ,9 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,7 ,5 ,1
2533.274928774929,3,0,A,0,DV,21,6 ,a ,5 ,1
1930.0505154639175,4,0,C,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,9 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,5 ,b ,6 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,9 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,6 ,b ,6 ,1
2533.274928774929,2,0,A,0,DV,21,6 ,b ,6 ,1
2652.9642757465813,3,0,M,0,DV,21,6 ,b ,6 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,7 ,1
2637.276119402985,3,0,V,0,DV,21,4 ,a ,7 ,1
2533.274928774929,3,0,A,0,DV,21,6 ,b ,7 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,8 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,8 ,b ,7 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,8 ,7 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,a ,6 ,1
2533.274928774929,3,0,A,0,DV,21,5 ,b ,7 ,1
3922.0,2,2,M,0,DV,21,3 ,9 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,b ,7 ,1
2652.9642757465813,3,0,M,2,DV,21,4 ,9 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,7 ,b ,5 ,1
2652.9642757465813,2,0,M,2,DV,21,5 ,a ,6 ,1
2533.274928774929,3,0,A,0,DV,21,5 ,b ,7 ,1
1930.0505154639175,4,0,C,0,DV,21,8 ,b ,6 ,1
2533.274928774929,3,0,A,0,DV,21,7 ,b ,6 ,1
2533.274928774929,3,0,A,2,DV,21,4 ,8 ,5 ,1
2533.274928774929,2,0,A,0,DV,21,1 ,6 ,6 ,1
2637.276119402985,3,0,V,0,DV,21,5 ,b ,7 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,8 ,6 ,1
2372.1552346570397,3,0,D,0,DV,21,1 ,6 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,3,0,A,0,DV,21,5 ,a ,5 ,1
2533.274928774929,2,0,A,0,DV,21,8 ,b ,6 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,9 ,5 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,a ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,3 ,8 ,5 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,6 ,1
1930.0505154639175,4,0,C,0,DV,21,5 ,9 ,5 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,9 ,6 ,1
2533.274928774929,2,0,A,0,DV,10,4 ,a ,6 ,1
2533.274928774929,3,0,A,2,DV,21,1 ,6 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,6 ,a ,5 ,1
2372.1552346570397,3,0,D,0,DV,21,5 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,9 ,6 ,1
2652.9642757465813,2,0,M,2,DV,21,5 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,4 ,a ,6 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,5 ,9 ,5 ,1
2533.274928774929,3,0,A,0,DV,21,2 ,6 ,5 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,8 ,5 ,1
2533.274928774929,2,0,A,0,DV,21,6 ,b ,6 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,6 ,5 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,8 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,7 ,5 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,9 ,5 ,1
2652.9642757465813,3,0,M,0,DV,21,4 ,9 ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,2 ,6 ,5 ,1
2533.274928774929,2,0,A,0,DV,21,7 ,b ,5 ,1
2533.274928774929,3,0,A,0,DV,21,8 ,b ,6 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,8 ,5 ,1
2652.9642757465813,3,0,M,0,DV,21,1 ,5 ,5 ,1
2533.274928774929,3,0,A,0,DV,21,6 ,b ,5 ,1
2652.9642757465813,3,0,M,0,DA,21,2 ,7 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,9 ,5 ,1
2533.274928774929,2,0,A,0,DV,21,5 ,a ,5 ,1
1908.0,3,3,M,0,DV,21,1 ,6 ,6 ,1
2533.274928774929,2,0,A,0,DV,21,6 ,a ,5 ,1
997.0,3,1,D,0,DV,21,2 ,8 ,6 ,1
1930.0505154639175,4,0,C,0,DV,21,6 ,b ,6 ,1
2533.274928774929,3,0,A,0,DV,21,7 ,b ,5 ,1
2372.1552346570397,3,1,D,0,DV,21,2 ,7 ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,3 ,8 ,6 ,1
2637.276119402985,3,0,V,0,DA,21,6 ,a ,5 ,1
2652.9642757465813,2,0,M,0,DV,21,3 ,8 ,5 ,1
1930.0505154639175,4,0,C,0,DV,21,1 ,5 ,5 ,1
2533.274928774929,2,0,A,0,RA,21,2 ,7 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,8 ,b ,5 ,1
2053.0,3,0,C,0,DV,21,2 ,6 ,5 ,1
1591.0,4,0,C,0,DV,21,1 ,5 ,4 ,1
1555.0,3,0,C,0,DV,21,2 ,6 ,5 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,7 ,5 ,1
2652.9642757465813,3,0,M,0,DV,21,6 ,b ,6 ,1
2652.9642757465813,2,0,M,0,DV,21,3 ,8 ,6 ,1
2637.276119402985,3,0,V,0,DV,21,8 ,b ,6 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,7 ,5 ,1
2652.9642757465813,2,0,M,0,DV,21,2 ,7 ,6 ,1
2533.274928774929,3,0,A,0,DV,21,3 ,8 ,5 ,1
2533.274928774929,2,0,A,0,DV,21,2 ,6 ,5 ,1
2533.274928774929,3,0,A,0,DV,21,8 ,b ,5 ,1
2533.274928774929,3,0,A,0,DV,21,4 ,9 ,5 ,1
2533.274928774929,2,0,A,0,DV,21,3 ,7 ,5 ,1
1930.0505154639175,4,0,C,0,DV,21,4 ,8 ,5 ,1
2652.9642757465813,2,1,M,0,DV,21,2 ,7 ,5 ,1
2637.276119402985,3,0,V,0,DV,21,2 ,6 ,5 ,1
