MTREV,CDSEXE,NBENF,CDSITFAM,CDCATCL,CDTMT,RANGAGEAD,RANGAGEDEM,RANGADH,CDMOTDEM_DA,CDMOTDEM_DC,CDMOTDEM_DV,CDMOTDEM_RA,DEMISSIONNAIRE
0.0293,3,0,3,1.0,0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,0.0,0,1.0,5.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,6.0,10.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,5.0,8.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,3.0,6.0,4.0,0.0,0.0,1.0,0.0,1
-0.1254,2,2,6,1.0,0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,1
0.0293,2,1,3,1.0,0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,2.0,7.0,6.0,0.0,0.0,1.0,0.0,1
0.0139,3,0,2,1.0,0,2.0,8.0,6.0,0.0,0.0,0.0,1.0,1
0.0129,3,0,1,1.0,0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,1.0,5.0,5.0,0.0,0.0,1.0,0.0,1
-0.0696,4,0,4,1.0,0,2.0,8.0,6.0,1.0,0.0,0.0,0.0,1
0.0129,2,0,1,1.0,0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,1
-0.0696,4,0,4,1.0,0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,3.0,8.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,1
-0.0091,3,0,5,1.0,2,2.0,7.0,5.0,1.0,0.0,0.0,0.0,1
0.0129,3,0,1,1.0,0,8.0,11.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,7.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,6.0,11.0,5.0,0.0,0.0,1.0,0.0,1
-0.0098,2,0,7,1.0,0,3.0,8.0,6.0,1.0,0.0,0.0,0.0,1
0.0293,2,2,3,1.0,0,3.0,8.0,6.0,0.0,0.0,1.0,0.0,1
-0.0696,4,0,4,1.0,0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,4.0,8.0,5.0,0.0,0.0,1.0,0.0,1
20.5189,2,0,3,1.0,0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,8.0,11.0,5.0,0.0,0.0,1.0,0.0,1
-0.0751,3,2,3,1.0,0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,6.0,10.0,4.0,0.0,0.0,1.0,0.0,1
-0.0696,3,0,4,1.0,0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,0.0,0,8.0,11.0,5.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,2.0,5.0,4.0,0.0,0.0,1.0,0.0,1
0.0293,3,0,3,1.0,0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,1
0.0293,2,1,3,1.0,2,3.0,8.0,5.0,0.0,0.0,1.0,0.0,1
-0.0696,2,0,4,1.0,0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,5.0,8.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0293,2,1,3,1.0,0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,1
0.0293,2,3,3,1.0,0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,6.0,10.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,5.0,9.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,7.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,2.0,9.0,7.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,2.0,8.0,7.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,6.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0271,3,0,8,1.0,0,3.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0271,3,0,8,1.0,0,3.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,6.0,11.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,2.0,7.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,2.0,7.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,8.0,11.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,1
-0.0696,4,0,4,1.0,0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,1
-0.0462,3,1,3,1.0,0,2.0,7.0,6.0,0.0,0.0,1.0,0.0,1
-0.0091,3,0,5,1.0,0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,1
-0.0091,3,0,5,7.0,0,2.0,7.0,5.0,1.0,0.0,0.0,0.0,1
0.0129,3,0,1,1.0,0,5.0,10.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,6.0,11.0,6.0,0.0,0.0,1.0,0.0,1
-0.0091,3,0,5,1.0,0,4.0,10.0,6.0,0.0,0.0,1.0,0.0,1
0.0686,2,1,3,1.0,0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,4.0,8.0,5.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,4.0,8.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,5.0,8.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,3.0,6.0,4.0,0.0,0.0,1.0,0.0,1
-0.0696,4,0,4,1.0,0,6.0,10.0,4.0,0.0,0.0,0.0,1.0,1
0.0129,2,0,1,1.0,0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,1
-0.0788,3,0,1,1.0,0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,7.0,11.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,0.0,0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,1
-0.1522,3,2,5,1.0,0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,6.0,10.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,2.0,5.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0293,3,0,3,1.0,0,7.0,11.0,7.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,3.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,2.0,7.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,2.0,9.0,7.0,0.0,0.0,1.0,0.0,1
0.0129,2,2,1,1.0,0,3.0,9.0,6.0,0.0,0.0,1.0,0.0,1
-0.196,3,2,3,1.0,0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,1
0.0129,3,0,1,1.0,0,5.0,10.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,6.0,10.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,4.0,10.0,6.0,0.0,0.0,1.0,0.0,1
-0.0696,4,0,4,1.0,0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1
-0.0091,3,0,5,1.0,0,3.0,7.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,8.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,2.0,5.0,4.0,0.0,0.0,0.0,1.0,1
0.0538,2,2,3,1.0,0,3.0,7.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,0.0,0,1.0,5.0,5.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,6.0,10.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,8.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0293,3,0,3,1.0,0,3.0,8.0,5.0,1.0,0.0,0.0,0.0,1
0.0293,3,0,3,1.0,0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,1
-0.1811,2,0,3,1.0,0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,0.0,0,3.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,3.0,8.0,5.0,0.0,0.0,0.0,1.0,1
0.0532,3,0,8,1.0,0,5.0,10.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,6.0,11.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,7.0,11.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,4.0,8.0,4.0,0.0,0.0,0.0,1.0,1
0.0293,3,0,3,1.0,0,5.0,10.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,1.0,5.0,4.0,0.0,0.0,0.0,1.0,1
-0.0446,2,1,3,1.0,0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,2.0,7.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,0.0,0,6.0,11.0,7.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,0.0,0,5.0,11.0,7.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,5.0,11.0,6.0,0.0,0.0,1.0,0.0,1
-0.0091,3,0,5,1.0,0,1.0,6.0,6.0,1.0,0.0,0.0,0.0,1
0.0129,2,0,1,1.0,0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,3.0,10.0,7.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,9.0,7.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,4.0,10.0,7.0,0.0,0.0,1.0,0.0,1
-0.0696,4,0,4,1.0,0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,7.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,8.0,6.0,0.0,0.0,1.0,0.0,1
-0.0696,4,0,4,1.0,0,8.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,3.0,8.0,6.0,0.0,0.0,1.0,0.0,1
-0.0696,4,0,4,1.0,0,2.0,7.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,5.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,4.0,10.0,7.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,8.0,11.0,7.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,0.0,0,4.0,10.0,7.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,2,5.0,10.0,6.0,0.0,0.0,1.0,0.0,1
-0.0696,4,0,4,1.0,0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,4.0,8.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,1
0.0293,3,0,3,1.0,0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,1
0.0293,3,0,3,1.0,2,2.0,7.0,5.0,1.0,0.0,0.0,0.0,1
-0.0696,4,0,4,1.0,0,8.0,11.0,5.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,6.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,6.0,10.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,5.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0293,3,0,3,1.0,0,6.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,6.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,6.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,7.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,6.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,2.0,7.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,1
-0.0696,4,0,4,1.0,0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,1
-0.0091,3,0,5,1.0,0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,1
0.0129,3,0,1,1.0,0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,6.0,10.0,5.0,0.0,0.0,1.0,0.0,1
-0.0091,2,0,5,1.0,2,2.0,6.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,2,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0271,3,0,8,1.0,0,8.0,11.0,5.0,0.0,0.0,1.0,0.0,1
-0.0091,3,0,5,1.0,0,6.0,11.0,5.0,0.0,0.0,1.0,0.0,1
0.0293,2,1,3,1.0,0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,6.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,6.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,6.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,2,3.0,7.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,4.0,8.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,7.0,5.0,0.0,0.0,1.0,0.0,1
-0.0696,4,0,4,1.0,0,7.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,0.0,0,2.0,7.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,4.0,8.0,5.0,0.0,0.0,0.0,1.0,1
-0.1262,3,0,3,1.0,0,4.0,10.0,6.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,8.0,11.0,6.0,1.0,0.0,0.0,0.0,1
0.0129,3,0,1,1.0,0,4.0,8.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,6.0,11.0,5.0,0.0,0.0,1.0,0.0,1
-0.0696,3,0,4,1.0,0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,3.0,7.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,2,3.0,7.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,4.0,8.0,5.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,6.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0271,3,0,8,1.0,0,8.0,11.0,5.0,0.0,0.0,1.0,0.0,1
-0.1662,2,0,3,1.0,0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,1
0.0293,3,0,3,1.0,0,5.0,10.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,0.0,0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,1
0.0293,2,0,3,1.0,0,5.0,10.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,3,0,1,1.0,0,6.0,11.0,6.0,0.0,0.0,1.0,0.0,1
0.0129,2,0,1,1.0,0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,1
-0.0091,3,2,5,1.0,0,2.0,7.0,6.0,0.0,0.0,1.0,0.0,1
